iter	RMSE
0	171.6799748
1	163.3772784
2	155.0504108
3	147.147163
4	139.6337677
5	132.6465187
6	125.9074686
7	119.4304468
8	113.5358625
9	107.9103685
10	102.3049501
11	97.03276771
12	92.15321011
13	87.69405549
14	83.40873889
15	79.43754679
16	75.41787574
17	71.91426419
18	68.56818266
19	65.15942341
20	62.010314
21	58.93450426
22	56.1770688
23	53.45429487
24	50.80526171
25	48.46030009
26	46.18589191
27	44.02822758
28	41.99533966
29	40.07898396
30	38.34243546
31	36.46590597
32	34.76908961
33	33.09989227
34	31.66422617
35	30.28350125
36	28.86704268
37	27.52600526
38	26.20587657
39	25.06422479
40	23.93023327
41	22.89259227
42	21.89359055
43	20.96942983
44	20.10535829
45	19.19366232
46	18.38888079
47	17.60076976
48	16.87384398
49	16.17081559
50	15.48039973
51	14.84804815
52	14.28928614
53	13.7319854
54	13.23506907
55	12.75334137
56	12.27350487
57	11.83891613
58	11.40055956
59	11.01457893
60	10.63852848
61	10.31596501
62	10.02716102
63	9.731654766
64	9.457959045
65	9.208618833
66	8.950767045
67	8.691143941
68	8.470192011
69	8.268996663
70	8.079387811
71	7.906721633
72	7.743036163
73	7.575820411
74	7.423609563
75	7.279709343
76	7.139571665
77	7.019670816
78	6.902145791
79	6.787880988
80	6.679272723
81	6.588007601
82	6.495713521
83	6.405202865
84	6.334711505
85	6.261940292
86	6.18796805
87	6.12272976
88	6.056729077
89	5.999632162
90	5.939150084
91	5.886201307
92	5.829574767
93	5.780801709
94	5.730223314
95	5.679121936
96	5.639479951
97	5.591790568
98	5.553243456
99	5.508907507
100	5.474681754
101	5.442198631
102	5.407449793
103	5.378123494
104	5.343136981
105	5.312813853
106	5.292493293
107	5.26294143
108	5.237494561
109	5.206042037
110	5.186391284
111	5.158742671
112	5.14058951
113	5.106939916
114	5.080394024
115	5.055214814
116	5.008537697
117	4.986646126
118	4.971489745
119	4.94257309
120	4.918450773
121	4.891950722
122	4.874036829
123	4.855696789
124	4.832882593
125	4.809893164
126	4.789734919
127	4.773462701
128	4.750475119
129	4.729763482
130	4.717262609
131	4.706393295
132	4.688506483
133	4.671143924
134	4.643912255
135	4.633704265
136	4.615329407
137	4.590840055
138	4.574224942
139	4.554667735
140	4.544855936
141	4.535661309
142	4.524931743
143	4.510568814
144	4.491476826
145	4.471136401
146	4.452437423
147	4.44349728
148	4.427851623
149	4.419336466
150	4.4124106
151	4.393922192
152	4.380317934
153	4.362464986
154	4.344202388
155	4.337076292
156	4.327566499
157	4.310340011
158	4.296133363
159	4.284043013
160	4.268594665
161	4.254199095
162	4.241680399
163	4.228069079
164	4.214877221
165	4.200391453
166	4.192856787
167	4.178937495
168	4.166552877
169	4.151904571
170	4.139695904
171	4.125549342
172	4.108580374
173	4.099570739
174	4.08603532
175	4.079150878
176	4.071816067
177	4.061709336
178	4.053920084
179	4.042179575
180	4.029222384
181	4.014838133
182	4.006870141
183	3.998629254
184	3.984575942
185	3.977382185
186	3.967249726
187	3.963028616
188	3.958132414
189	3.94910373
190	3.943985869
191	3.931171746
192	3.920314653
193	3.910030552
194	3.903790043
195	3.893452504
196	3.881020566
197	3.872788449
198	3.860050233
199	3.85368839
200	3.847808392
201	3.835103386
202	3.823474177
203	3.817249319
204	3.807092117
205	3.795488538
206	3.790616082
207	3.783209704
208	3.772965482
209	3.767563271
210	3.754072618
211	3.749615877
212	3.738306659
213	3.729125177
214	3.719615454
215	3.715455154
216	3.707204802
217	3.700228381
218	3.696046317
219	3.692230376
220	3.683367658
221	3.673372398
222	3.66512206
223	3.661463941
224	3.653356977
225	3.643637467
226	3.63668209
227	3.631370614
228	3.621435073
229	3.612922001
230	3.60548905
231	3.599846402
232	3.594158045
233	3.58397366
234	3.578608217
235	3.56915367
236	3.562715227
237	3.557797167
238	3.551751304
239	3.545899983
240	3.537419055
241	3.52861762
242	3.523090923
243	3.514317877
244	3.510039253
245	3.504861937
246	3.501534887
247	3.494936122
248	3.489526989
249	3.479074891
250	3.469159073
251	3.461568466
252	3.45736309
253	3.450511033
254	3.44754266
255	3.442857607
256	3.436017359
257	3.429826961
258	3.423916574
259	3.416641215
260	3.411842114
261	3.404817374
262	3.396540806
263	3.389854263
264	3.381542673
265	3.376572087
266	3.369315352
267	3.366073872
268	3.360726137
269	3.356748713
270	3.351051939
271	3.346324187
272	3.340457245
273	3.33168414
274	3.326688509
275	3.322347384
276	3.316445782
277	3.312101347
278	3.307118617
279	3.299937601
280	3.294660715
281	3.291287579
282	3.287644122
283	3.281840284
284	3.273992513
285	3.26777963
286	3.263761146
287	3.261329135
288	3.256932993
289	3.249790907
290	3.246954262
291	3.243344562
292	3.237699575
293	3.232199261
294	3.225070771
295	3.221505789
296	3.216248875
297	3.210718418
298	3.207288641
299	3.20260264
300	3.197857948
301	3.192894097
302	3.189295834
303	3.186072353
304	3.18190633
305	3.177391364
306	3.174856767
307	3.170321657
308	3.168211933
309	3.161471579
310	3.155953034
311	3.152701529
312	3.148850526
313	3.144528643
314	3.138334319
315	3.134987801
316	3.129578105
317	3.125321008
318	3.119498461
319	3.116266648
320	3.111310745
321	3.106359711
322	3.102879887
323	3.097618451
324	3.093681303
325	3.08813599
326	3.082809383
327	3.079434771
328	3.075009772
329	3.072122054
330	3.067195165
331	3.063241341
332	3.059058184
333	3.055891781
334	3.050984395
335	3.044923964
336	3.041931376
337	3.037836389
338	3.033326076
339	3.027830378
340	3.023608956
341	3.021204941
342	3.017560094
343	3.016044511
344	3.012920726
345	3.007096169
346	3.002099963
347	2.9973019
348	2.994290624
349	2.992089881
350	2.987451681
351	2.983362834
352	2.978600409
353	2.974302074
354	2.972202894
355	2.9684012
356	2.963286532
357	2.961355827
358	2.957926081
359	2.954084852
360	2.95049517
361	2.947554241
362	2.944227765
363	2.940919111
364	2.938076985
365	2.934479497
366	2.93109439
367	2.926745234
368	2.924042284
369	2.920009173
370	2.918000318
371	2.914296986
372	2.910920823
373	2.908360952
374	2.904968246
375	2.900701022
376	2.897495558
377	2.894204679
378	2.891013195
379	2.886204237
380	2.88315666
381	2.880510127
382	2.876563802
383	2.872831566
384	2.868892461
385	2.864557518
386	2.862069384
387	2.859019241
388	2.854622653
389	2.852814644
390	2.850306907
391	2.847231313
392	2.840323611
393	2.835822332
394	2.834120564
395	2.83130958
396	2.828332705
397	2.822296989
398	2.818868599
399	2.815616078
400	2.812056659
401	2.808721597
402	2.805087171
403	2.801400936
404	2.798133349
405	2.792427722
406	2.790096817
