iter	Passed	Remaining
0	1	1775
1	3	1702
2	5	1680
3	6	1700
4	8	1719
5	10	1714
6	11	1695
7	13	1684
8	15	1675
9	16	1677
10	18	1664
11	20	1650
12	21	1637
13	23	1638
14	24	1639
15	26	1636
16	28	1632
17	29	1632
18	31	1626
19	33	1620
20	34	1617
21	36	1611
22	37	1606
23	39	1602
24	40	1598
25	42	1598
26	44	1594
27	45	1593
28	47	1592
29	49	1587
30	50	1584
31	52	1578
32	53	1574
33	55	1571
34	56	1566
35	58	1562
36	59	1558
37	61	1553
38	62	1549
39	64	1545
40	66	1543
41	67	1541
42	69	1538
43	70	1535
44	72	1533
45	73	1531
46	75	1528
47	76	1526
48	78	1522
49	79	1519
50	81	1517
51	83	1514
52	84	1512
53	86	1509
54	87	1508
55	89	1506
56	90	1503
57	92	1500
58	93	1498
59	95	1496
60	97	1494
61	98	1491
62	100	1488
63	101	1487
64	103	1485
65	104	1483
66	106	1481
67	107	1479
68	109	1476
69	110	1473
70	112	1471
71	114	1469
72	115	1468
73	117	1465
74	118	1463
75	120	1461
76	121	1459
77	123	1457
78	124	1455
79	126	1453
80	127	1450
81	129	1448
82	130	1446
83	132	1444
84	134	1442
85	135	1440
86	137	1438
87	138	1436
88	140	1435
89	141	1433
90	143	1432
91	144	1430
92	146	1428
93	148	1427
94	149	1426
95	151	1425
96	152	1424
97	154	1423
98	156	1421
99	157	1420
100	159	1418
101	161	1418
102	162	1416
103	164	1415
104	165	1414
105	167	1413
106	169	1411
107	170	1410
108	172	1409
109	173	1407
110	175	1405
111	177	1404
112	178	1402
113	180	1400
114	181	1399
115	183	1397
116	185	1396
117	186	1395
118	188	1393
119	189	1391
120	191	1389
121	192	1387
122	194	1386
123	196	1384
124	197	1383
125	199	1382
126	200	1380
127	202	1379
128	203	1377
129	205	1375
130	207	1374
131	208	1373
132	210	1372
133	212	1370
134	213	1368
135	215	1366
136	216	1364
137	218	1363
138	219	1361
139	221	1359
140	222	1358
141	224	1356
142	226	1354
143	227	1353
144	229	1351
145	230	1350
146	232	1348
147	234	1347
148	235	1345
149	237	1344
150	238	1342
151	240	1340
152	241	1338
153	243	1337
154	245	1335
155	246	1333
156	248	1331
157	249	1330
158	251	1328
159	252	1327
160	254	1325
161	255	1324
162	257	1322
163	259	1320
164	260	1319
165	262	1317
166	263	1316
167	265	1314
168	267	1313
169	268	1311
170	270	1310
171	271	1308
172	273	1306
173	274	1305
174	276	1303
175	278	1302
176	279	1300
177	281	1299
178	282	1297
179	284	1295
180	286	1294
181	287	1292
182	289	1291
183	290	1289
184	292	1287
185	293	1286
186	295	1284
187	296	1282
188	298	1280
189	300	1279
190	301	1277
191	303	1276
192	304	1274
193	306	1272
194	307	1271
195	309	1269
196	311	1267
197	312	1265
198	314	1264
199	315	1262
200	317	1260
201	318	1259
202	320	1257
203	321	1256
204	323	1254
205	325	1252
206	326	1251
207	328	1249
208	329	1247
209	331	1245
210	332	1244
211	334	1242
212	335	1241
213	337	1240
214	339	1238
